"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BMP15",1.04282817092473,6.35525662952893,4.88374323811566,3.23609712386844e-06,2.30894935115973e-05,3.71444678366995
"YBX2",1.13374906048808,5.59492800952066,4.87805289884742,3.3149598753161e-06,2.35841586779689e-05,3.69122513806663
"P3H3",1.20584610899203,6.92936742392562,4.86771183840619,3.46308024931117e-06,2.45531469867331e-05,3.64907071319386
"PHYHIP",1.52762879213686,3.77115251723967,4.85700640789144,3.623182596786e-06,2.56371982618837e-05,3.6054940250221
"DUSP8",1.09228576893606,4.05255790330165,4.82591826782361,4.12990793429872e-06,2.8690365626854e-05,3.47931421744301
"NANOS3",2.10940927105823,5.4053683445124,4.82503883138898,4.14519882539077e-06,2.87778676580689e-05,3.47575270917302
"ZNF543",1.07988516807009,6.84187323164463,4.8220056977057,4.19835890531976e-06,2.90807507048665e-05,3.4634725952223
"ITGAE",1.95094024618432,9.1544602397438,4.8218364888765,4.20134393284469e-06,2.90919908190332e-05,3.46278768020079
"DBNDD1",1.37065327110743,5.88104839778512,4.82059570644701,4.22329567338121e-06,2.92250418357277e-05,3.45776579826714
"SLC35A5",1.09037980717418,4.40665955590909,4.81320860585723,4.35630864957456e-06,3.00287189191946e-05,3.42788565614935
"TBL2",1.06450133712045,3.9361247262562,4.81184818495323,4.38124371035578e-06,3.01908549321226e-05,3.42238625096573
"ASAP1-IT2",1.19147050650054,3.75679651723967,4.80526053230001,4.50395978075987e-06,3.09765092167881e-05,3.39577098639016
"MRGPRF",1.05862410460912,6.39021974121488,4.80301932154304,4.54646453159638e-06,3.11985058072753e-05,3.38672172278469
"RNF125",1.06906058036224,5.03720090933884,4.80288162801344,4.54908854712299e-06,3.12064843956992e-05,3.38616585518115
"C1orf210",1.44230973354069,4.74263879081818,4.79959539693295,4.61215164321471e-06,3.1608632330183e-05,3.37290256683774
"LINC02610",1.0000242640865,4.96436805931405,4.79043304516939,4.79248806847094e-06,3.27185366695003e-05,3.33595560318644
"EDNRB",1.05306312266699,7.20827036341322,4.78469609371835,4.90886576602796e-06,3.34488922889365e-05,3.31284584049789
"LINC00523",1.0524351106589,4.77967081275207,4.77418168276037,5.12930958584792e-06,3.47734622875499e-05,3.27054015657261
"USP5",1.08680980048243,5.73355820687603,4.77276538486248,5.1597272393662e-06,3.49463923871441e-05,3.26484638492188
"LINC01537",1.3073805459287,6.11003507833058,4.76708521033696,5.28348608293354e-06,3.56827467745243e-05,3.24202260473858
"LOC101929645",1.71113965994737,4.61119794178512,4.75822466642537,5.48230303647483e-06,3.68390753127502e-05,3.20645656286182
"PRKACG",3.22698710306955,5.8568955166281,4.75484867345081,5.55994698251011e-06,3.73490619098784e-05,3.19291725450092
"TMEM88",1.31231465932407,3.81158521512397,4.75430699728002,5.57250371583438e-06,3.74216405193847e-05,3.19074548986565
"LINC00106",1.57638076904466,4.5022970611405,4.73633423944332,6.00507618717796e-06,3.99745642073521e-05,3.11878234557721
"LINC00472",1.26108777154266,5.72633981077686,4.735087479138,6.0362612324289e-06,4.01080000918802e-05,3.11379720940045
